EmpID,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days)
1148,01-Sep-22,Communication Skills,External,Passed,3
1149,31-Jul-23,Leadership Development,External,Failed,5
1150,03-Jun-23,Project Management,External,Incomplete,5
1151,19-Dec-22,Project Management,External,Passed,4
1152,29-Mar-23,Customer Service,External,Incomplete,2
1153,02-Dec-22,Communication Skills,Internal,Failed,4
1154,12-Aug-22,Customer Service,Internal,Incomplete,3
1155,10-Sep-22,Technical Skills,Internal,Failed,1
1156,04-Sep-22,Customer Service,Internal,Incomplete,5
1157,11-Oct-22,Technical Skills,External,Passed,1
1158,14-Sep-22,Customer Service,External,Completed,3
1159,27-Dec-22,Leadership Development,External,Failed,3
1160,07-Nov-22,Leadership Development,External,Failed,2
1161,13-Nov-22,Technical Skills,Internal,Passed,5
1162,02-Sep-22,Communication Skills,External,Incomplete,1
1163,23-Feb-23,Communication Skills,External,Passed,3
1164,01-Mar-23,Technical Skills,Internal,Incomplete,3
1165,27-Sep-22,Communication Skills,Internal,Passed,3
1166,10-Aug-22,Communication Skills,External,Passed,4
1167,23-Feb-23,Project Management,Internal,Failed,4
1168,02-Sep-22,Project Management,Internal,Failed,1
1169,30-Jun-23,Technical Skills,Internal,Incomplete,1
1170,04-Aug-23,Communication Skills,External,Incomplete,1
1171,07-Sep-22,Project Management,Internal,Completed,1
1172,30-Mar-23,Communication Skills,External,Passed,5
1173,09-Feb-23,Customer Service,Internal,Passed,4
1174,12-May-23,Project Management,External,Incomplete,3
1175,04-Jan-23,Project Management,Internal,Passed,3
1176,14-Feb-23,Leadership Development,Internal,Completed,2
1177,17-Sep-22,Customer Service,External,Passed,3
1178,21-Dec-22,Project Management,External,Failed,1
1179,11-Feb-23,Technical Skills,Internal,Passed,2
1180,17-Nov-22,Technical Skills,Internal,Completed,3
1181,31-Dec-22,Communication Skills,External,Incomplete,1
1182,19-Oct-22,Communication Skills,External,Passed,5
1183,16-Jul-23,Technical Skills,Internal,Incomplete,4
1184,31-Jan-23,Customer Service,Internal,Completed,3
1185,22-Sep-22,Project Management,Internal,Failed,5
1186,12-Jun-23,Communication Skills,External,Failed,5
1187,25-Oct-22,Communication Skills,Internal,Incomplete,4
1188,07-Jan-23,Technical Skills,Internal,Passed,4
1189,20-Sep-22,Communication Skills,External,Completed,1
1190,21-May-23,Project Management,External,Failed,4
1191,23-Sep-22,Customer Service,Internal,Completed,2
1192,11-Oct-22,Leadership Development,External,Passed,4
1193,05-May-23,Technical Skills,External,Failed,1
1194,07-May-23,Communication Skills,Internal,Completed,2
1195,06-Jul-23,Technical Skills,Internal,Failed,3
1196,28-Feb-23,Communication Skills,Internal,Completed,5
1197,25-Feb-23,Technical Skills,Internal,Passed,5
1198,19-Jun-23,Project Management,Internal,Failed,1
1199,28-Nov-22,Leadership Development,External,Passed,2
1200,29-Jul-23,Project Management,Internal,Incomplete,2
1201,10-Oct-22,Communication Skills,External,Passed,2
1202,08-Dec-22,Technical Skills,Internal,Incomplete,1
1203,12-Oct-22,Project Management,External,Incomplete,5
1204,16-Jul-23,Project Management,External,Incomplete,1
1205,01-Aug-23,Communication Skills,External,Failed,3
1206,20-Jul-23,Technical Skills,Internal,Passed,5
1207,07-Dec-22,Communication Skills,Internal,Completed,5
1208,20-Sep-22,Leadership Development,Internal,Passed,3
1209,18-Jun-23,Communication Skills,External,Failed,2
1210,09-Jan-23,Leadership Development,External,Incomplete,4
1211,30-Jul-23,Leadership Development,External,Passed,3
1212,03-May-23,Project Management,Internal,Failed,5
1213,15-Feb-23,Project Management,External,Failed,4
1214,02-Apr-23,Customer Service,Internal,Completed,3
1215,13-Sep-22,Communication Skills,External,Passed,4
1216,16-Jul-23,Leadership Development,External,Incomplete,1
1217,17-Apr-23,Customer Service,External,Completed,1
1218,30-Jan-23,Leadership Development,Internal,Failed,3
1219,15-Sep-22,Communication Skills,External,Failed,5
1220,29-Jun-23,Leadership Development,External,Passed,1
1221,25-Aug-22,Customer Service,Internal,Passed,4
1222,10-Mar-23,Leadership Development,External,Passed,2
1223,30-Aug-22,Project Management,External,Completed,1
1224,18-Mar-23,Project Management,Internal,Incomplete,5
1225,14-Aug-22,Customer Service,Internal,Completed,5
1226,20-May-23,Customer Service,Internal,Completed,3
1227,15-May-23,Communication Skills,External,Failed,3
1228,05-Oct-22,Technical Skills,Internal,Failed,5
1229,11-Jan-23,Customer Service,External,Failed,1
1230,30-Apr-23,Communication Skills,External,Completed,1
1231,06-Aug-22,Project Management,External,Passed,1
1232,30-Nov-22,Leadership Development,Internal,Incomplete,4
1233,29-Nov-22,Customer Service,Internal,Failed,3
1234,19-Feb-23,Leadership Development,Internal,Passed,1
1235,10-Apr-23,Project Management,Internal,Failed,3
1236,17-Apr-23,Customer Service,External,Passed,2
1237,11-Nov-22,Leadership Development,External,Passed,2
1238,14-Nov-22,Leadership Development,Internal,Incomplete,2
1239,28-Apr-23,Project Management,Internal,Incomplete,3
1240,04-Jan-23,Communication Skills,External,Passed,5
1241,01-Feb-23,Project Management,External,Failed,5
1242,14-Mar-23,Project Management,External,Passed,3
1243,05-Feb-23,Communication Skills,Internal,Incomplete,3
1244,18-Feb-23,Technical Skills,External,Incomplete,5
1245,29-Jun-23,Communication Skills,Internal,Incomplete,4
1246,25-Dec-22,Communication Skills,Internal,Completed,1
1247,09-Dec-22,Customer Service,External,Completed,5
1248,24-Aug-22,Communication Skills,Internal,Passed,4
1249,15-Aug-22,Communication Skills,Internal,Completed,4
1250,28-Apr-23,Communication Skills,External,Incomplete,3
1251,04-Feb-23,Communication Skills,External,Failed,5
1252,20-Nov-22,Leadership Development,Internal,Completed,1
1253,03-Jun-23,Customer Service,Internal,Completed,2
1254,20-Apr-23,Project Management,Internal,Passed,3
1255,23-Oct-22,Customer Service,External,Passed,2
1256,26-May-23,Project Management,Internal,Completed,4
1257,23-May-23,Technical Skills,Internal,Failed,1
1258,30-Jun-23,Project Management,Internal,Incomplete,1
1259,04-Jan-23,Leadership Development,Internal,Completed,1
1260,21-Nov-22,Leadership Development,Internal,Completed,2
1261,26-Jul-23,Project Management,External,Incomplete,3
1262,17-Jan-23,Communication Skills,Internal,Passed,2
1263,03-Mar-23,Communication Skills,Internal,Failed,5
1264,16-May-23,Customer Service,Internal,Failed,5
1265,15-Jun-23,Leadership Development,Internal,Incomplete,4
1266,30-Mar-23,Project Management,Internal,Incomplete,5
1267,27-Feb-23,Technical Skills,Internal,Failed,1
1268,25-May-23,Project Management,External,Passed,5
1269,23-Dec-22,Customer Service,External,Passed,4
1270,21-Aug-22,Leadership Development,External,Completed,2
1271,15-Feb-23,Customer Service,Internal,Completed,3
1272,24-Feb-23,Technical Skills,Internal,Failed,3
1273,24-May-23,Technical Skills,External,Incomplete,1
1274,22-May-23,Project Management,Internal,Passed,2
1275,13-Jun-23,Communication Skills,External,Incomplete,3
1276,15-Jul-23,Communication Skills,Internal,Failed,1
1277,27-Mar-23,Communication Skills,Internal,Passed,3
1278,04-Feb-23,Technical Skills,Internal,Incomplete,1
1279,23-Nov-22,Technical Skills,Internal,Incomplete,4
1280,08-Jun-23,Leadership Development,External,Completed,4
1281,31-Jan-23,Project Management,External,Completed,3
1282,20-Feb-23,Leadership Development,External,Passed,4
1283,17-Jan-23,Customer Service,External,Failed,2
1284,10-Nov-22,Communication Skills,External,Completed,1
1285,08-Nov-22,Project Management,External,Completed,4
1286,28-May-23,Customer Service,Internal,Incomplete,2
1287,31-Mar-23,Technical Skills,External,Completed,1
1288,13-May-23,Technical Skills,External,Incomplete,5
1289,08-Oct-22,Leadership Development,Internal,Incomplete,3
1290,14-May-23,Leadership Development,External,Completed,4
1291,12-Sep-22,Technical Skills,Internal,Passed,3
1292,22-Feb-23,Customer Service,Internal,Completed,5
1293,12-Mar-23,Project Management,Internal,Passed,2
1294,15-Aug-22,Technical Skills,Internal,Passed,3
1295,03-Jan-23,Communication Skills,Internal,Incomplete,5
1296,05-Mar-23,Communication Skills,External,Passed,2
1297,14-Jun-23,Project Management,External,Passed,3
1298,16-May-23,Project Management,Internal,Passed,3
1299,21-Jan-23,Project Management,External,Completed,3
1300,29-Apr-23,Technical Skills,Internal,Passed,4
1301,22-Sep-22,Communication Skills,Internal,Incomplete,1
1302,20-Aug-22,Project Management,Internal,Passed,2
1303,02-Jun-23,Leadership Development,Internal,Failed,3
1304,16-Jan-23,Communication Skills,External,Completed,3
1305,08-Jul-23,Technical Skills,Internal,Failed,3
1306,13-Jul-23,Technical Skills,External,Failed,4
1307,16-Nov-22,Technical Skills,Internal,Incomplete,3
1308,10-Oct-22,Leadership Development,External,Failed,5
1309,09-Sep-22,Technical Skills,External,Failed,3
1310,16-Oct-22,Project Management,Internal,Incomplete,4
1311,17-Oct-22,Leadership Development,Internal,Incomplete,1
1312,29-Apr-23,Communication Skills,Internal,Completed,4
1313,25-Oct-22,Leadership Development,Internal,Incomplete,5
1314,18-Mar-23,Project Management,Internal,Passed,4
1315,29-Jul-23,Communication Skills,External,Failed,4
1316,20-Apr-23,Technical Skills,External,Passed,5
1317,20-Aug-22,Communication Skills,External,Passed,5
1318,17-Oct-22,Communication Skills,External,Completed,4
1319,19-May-23,Project Management,Internal,Failed,1
1320,25-Aug-22,Leadership Development,External,Completed,3
1321,19-Jan-23,Customer Service,Internal,Passed,5
1322,24-Feb-23,Customer Service,External,Incomplete,1
1323,30-Mar-23,Customer Service,Internal,Passed,2
1324,30-Sep-22,Project Management,Internal,Failed,2
1325,28-Mar-23,Project Management,External,Failed,5
1326,01-May-23,Leadership Development,External,Passed,5
1327,02-Jul-23,Leadership Development,Internal,Passed,3
1328,24-Mar-23,Customer Service,Internal,Failed,3
1329,11-Jun-23,Project Management,External,Passed,5
1330,20-Nov-22,Project Management,Internal,Incomplete,3
1331,14-Sep-22,Communication Skills,Internal,Failed,2
1332,13-Aug-22,Leadership Development,External,Incomplete,4
1333,01-Mar-23,Customer Service,Internal,Passed,2
1334,01-Apr-23,Project Management,Internal,Failed,1
1335,20-Feb-23,Leadership Development,Internal,Incomplete,2
1336,19-Dec-22,Leadership Development,Internal,Passed,4
1337,17-Jan-23,Project Management,External,Failed,5
1338,30-Oct-22,Leadership Development,External,Incomplete,1
1339,24-Nov-22,Customer Service,Internal,Incomplete,3
1340,06-Feb-23,Leadership Development,External,Incomplete,2
1341,14-Feb-23,Project Management,Internal,Passed,3
1342,28-Jan-23,Project Management,Internal,Failed,4
1343,02-Sep-22,Customer Service,External,Completed,5
1344,01-Nov-22,Technical Skills,Internal,Incomplete,5
1345,30-Nov-22,Communication Skills,External,Passed,1
1346,02-Jul-23,Technical Skills,External,Failed,2
1347,22-Oct-22,Communication Skills,Internal,Failed,5
1348,01-Aug-23,Technical Skills,Internal,Completed,4
1349,26-Nov-22,Technical Skills,Internal,Incomplete,3
1350,29-Jan-23,Leadership Development,Internal,Incomplete,2
1351,20-Dec-22,Project Management,Internal,Passed,2
1352,01-Nov-22,Communication Skills,External,Completed,4
1353,16-Dec-22,Communication Skills,Internal,Incomplete,5
1354,03-Aug-23,Communication Skills,External,Failed,2
1355,13-Mar-23,Project Management,Internal,Completed,5
1356,06-Apr-23,Technical Skills,Internal,Incomplete,3
1357,26-May-23,Project Management,External,Incomplete,3
1358,10-Aug-22,Communication Skills,Internal,Completed,2
1359,14-Feb-23,Customer Service,External,Incomplete,4
1360,20-Sep-22,Leadership Development,Internal,Passed,2
1361,09-Oct-22,Project Management,Internal,Failed,4
1362,29-Aug-22,Customer Service,Internal,Passed,4
1363,15-Dec-22,Project Management,Internal,Completed,2
1364,28-Dec-22,Project Management,External,Incomplete,4
1365,10-Apr-23,Leadership Development,External,Incomplete,1
1366,18-Nov-22,Technical Skills,Internal,Completed,1
1367,20-Sep-22,Project Management,External,Incomplete,5
1368,19-Oct-22,Project Management,Internal,Incomplete,4
1369,31-Jan-23,Communication Skills,External,Incomplete,2
1370,06-Sep-22,Leadership Development,Internal,Incomplete,1
1371,01-Oct-22,Leadership Development,External,Passed,1
1372,03-Jun-23,Customer Service,Internal,Passed,1
1373,08-Sep-22,Leadership Development,External,Failed,4
1374,08-Oct-22,Customer Service,Internal,Completed,1
1375,25-Jun-23,Technical Skills,External,Passed,3
1376,02-Aug-23,Customer Service,External,Completed,3
1377,20-Jun-23,Communication Skills,Internal,Completed,2
1378,28-Jan-23,Communication Skills,External,Failed,5
1379,06-Mar-23,Communication Skills,Internal,Passed,1
1380,26-May-23,Communication Skills,External,Failed,3
1381,20-Sep-22,Leadership Development,Internal,Failed,4
1382,21-Feb-23,Communication Skills,Internal,Passed,5
1383,15-Jan-23,Customer Service,Internal,Completed,3
1384,04-Oct-22,Leadership Development,Internal,Passed,4
1385,27-Jun-23,Communication Skills,Internal,Passed,1
1386,29-Jun-23,Technical Skills,External,Passed,1
1387,20-Dec-22,Communication Skills,External,Incomplete,1
1388,18-Apr-23,Communication Skills,External,Completed,1
1389,16-Jan-23,Communication Skills,External,Incomplete,3
1390,03-Mar-23,Communication Skills,External,Completed,3
1391,05-Feb-23,Leadership Development,External,Completed,3
1392,20-Apr-23,Leadership Development,External,Completed,3
1393,02-Apr-23,Technical Skills,External,Failed,3
1394,13-Feb-23,Leadership Development,Internal,Passed,5
1395,28-Dec-22,Communication Skills,Internal,Failed,2
1396,13-Sep-22,Communication Skills,Internal,Completed,3
1397,01-Mar-23,Customer Service,Internal,Incomplete,2
1398,04-Jan-23,Communication Skills,External,Passed,3
1399,02-May-23,Customer Service,Internal,Incomplete,2
1400,06-Aug-22,Communication Skills,Internal,Failed,2
1401,03-Jul-23,Communication Skills,Internal,Incomplete,5
1402,14-Oct-22,Communication Skills,External,Passed,3
1403,08-Jun-23,Technical Skills,Internal,Failed,3
1404,02-Oct-22,Project Management,Internal,Completed,4
1405,15-Sep-22,Customer Service,External,Completed,4
1406,03-May-23,Technical Skills,Internal,Incomplete,5
1407,23-Nov-22,Communication Skills,External,Completed,3
1408,24-Dec-22,Communication Skills,Internal,Passed,5
1409,23-Aug-22,Customer Service,Internal,Passed,4
1410,25-Nov-22,Project Management,External,Completed,1
1411,14-Dec-22,Technical Skills,External,Incomplete,1
1412,24-Aug-22,Project Management,External,Incomplete,4
1413,17-Feb-23,Technical Skills,Internal,Completed,5
1414,21-Jan-23,Customer Service,Internal,Failed,3
1415,28-Dec-22,Customer Service,Internal,Incomplete,3
1416,27-Oct-22,Customer Service,External,Passed,2
1417,05-Jan-23,Project Management,Internal,Passed,1
1418,24-Jun-23,Project Management,External,Failed,1
1419,13-Apr-23,Leadership Development,Internal,Passed,1
1420,16-Feb-23,Communication Skills,Internal,Completed,5
1421,08-Dec-22,Customer Service,Internal,Completed,5
1422,13-Apr-23,Technical Skills,Internal,Failed,3
1423,15-Mar-23,Communication Skills,Internal,Passed,3
1424,05-Mar-23,Technical Skills,External,Incomplete,4
1425,13-Mar-23,Technical Skills,Internal,Failed,1
1426,02-Dec-22,Project Management,External,Completed,3
1427,25-Apr-23,Project Management,External,Passed,1
1428,30-Aug-22,Technical Skills,Internal,Failed,5
1429,26-Nov-22,Communication Skills,External,Failed,4
1430,26-Aug-22,Leadership Development,External,Passed,4
1431,15-Oct-22,Technical Skills,External,Failed,3
1432,06-Aug-22,Communication Skills,Internal,Completed,4
1433,18-Sep-22,Customer Service,Internal,Passed,4
1434,27-Apr-23,Project Management,External,Incomplete,2
1435,21-Sep-22,Leadership Development,Internal,Passed,4
1436,26-Aug-22,Technical Skills,Internal,Incomplete,1
1437,28-Dec-22,Leadership Development,External,Passed,3
1438,12-May-23,Customer Service,External,Passed,2
1439,20-Jun-23,Communication Skills,Internal,Completed,4
1440,13-Nov-22,Communication Skills,External,Failed,5
1441,23-Oct-22,Customer Service,Internal,Incomplete,4
1442,21-Feb-23,Technical Skills,External,Incomplete,3
1443,03-May-23,Leadership Development,Internal,Failed,5
1444,30-Jan-23,Leadership Development,External,Incomplete,2
1445,20-Jul-23,Communication Skills,Internal,Passed,5
1446,06-Feb-23,Communication Skills,Internal,Passed,3
1447,26-May-23,Technical Skills,External,Completed,4
1448,06-Aug-22,Leadership Development,Internal,Failed,5
1449,09-Oct-22,Customer Service,Internal,Passed,5
1450,23-Jun-23,Project Management,Internal,Incomplete,5
1451,25-Oct-22,Communication Skills,External,Completed,2
1452,04-Sep-22,Technical Skills,Internal,Passed,4
1453,05-Apr-23,Technical Skills,Internal,Passed,2
1454,14-Dec-22,Customer Service,External,Completed,1
1455,15-May-23,Leadership Development,Internal,Passed,5
1456,30-Sep-22,Customer Service,External,Incomplete,3
1457,11-May-23,Project Management,External,Passed,5
1458,22-May-23,Technical Skills,External,Incomplete,1
1459,18-Oct-22,Project Management,Internal,Failed,3
1460,06-Mar-23,Customer Service,Internal,Incomplete,2
1461,01-Jun-23,Communication Skills,Internal,Passed,1
1462,02-Feb-23,Leadership Development,External,Completed,4
1463,14-Apr-23,Customer Service,Internal,Completed,2
1464,25-Jun-23,Customer Service,Internal,Completed,2
1465,06-Dec-22,Leadership Development,External,Incomplete,4
1466,16-Dec-22,Project Management,External,Completed,3
1467,13-Jan-23,Technical Skills,External,Completed,2
1468,10-Apr-23,Leadership Development,Internal,Passed,5
1469,25-Aug-22,Leadership Development,External,Incomplete,3
1470,17-Apr-23,Communication Skills,External,Failed,5
1471,06-Mar-23,Technical Skills,Internal,Completed,3
1472,11-Apr-23,Project Management,Internal,Passed,3
1473,11-Feb-23,Leadership Development,External,Passed,4
1474,19-Feb-23,Project Management,External,Failed,1
1475,04-Nov-22,Technical Skills,Internal,Passed,3
1476,08-Mar-23,Technical Skills,External,Completed,2
1477,12-Mar-23,Technical Skills,External,Failed,5
1478,03-Aug-23,Leadership Development,External,Failed,5
1479,23-Jan-23,Project Management,Internal,Failed,1
1480,18-Apr-23,Leadership Development,External,Failed,2
1481,16-May-23,Communication Skills,Internal,Completed,5
1482,13-Oct-22,Customer Service,Internal,Completed,5
1483,22-Aug-22,Communication Skills,External,Incomplete,4
1484,29-Jul-23,Communication Skills,External,Incomplete,1
1485,02-Jul-23,Leadership Development,External,Completed,5
1486,30-May-23,Customer Service,Internal,Incomplete,2
1487,08-Aug-22,Customer Service,External,Failed,3
1488,23-Jul-23,Technical Skills,Internal,Incomplete,5
1489,01-Oct-22,Leadership Development,External,Completed,5
1490,23-Jul-23,Communication Skills,External,Incomplete,4
1491,10-Aug-22,Technical Skills,External,Failed,5
1492,25-Dec-22,Customer Service,Internal,Failed,1
1493,09-Oct-22,Communication Skills,Internal,Incomplete,3
1494,01-Feb-23,Customer Service,External,Passed,5
1495,25-Feb-23,Customer Service,Internal,Completed,4
1496,07-Sep-22,Customer Service,External,Completed,3
1497,23-Aug-22,Technical Skills,External,Completed,3
1498,05-Aug-23,Project Management,Internal,Passed,3
1499,18-Jan-23,Customer Service,External,Incomplete,5
1500,12-Jan-23,Technical Skills,Internal,Passed,2
1501,29-Jul-23,Customer Service,Internal,Completed,2
1502,08-Mar-23,Technical Skills,Internal,Failed,4
1503,09-Dec-22,Communication Skills,External,Failed,3
1504,20-Jun-23,Technical Skills,Internal,Failed,4
1505,08-May-23,Leadership Development,Internal,Passed,2
1506,01-Nov-22,Leadership Development,External,Failed,1
1507,21-Sep-22,Technical Skills,Internal,Completed,3
1508,12-May-23,Customer Service,Internal,Passed,2
1509,29-Jun-23,Project Management,Internal,Incomplete,4
1510,13-Oct-22,Technical Skills,External,Incomplete,5
1511,25-Aug-22,Leadership Development,Internal,Failed,5
1512,28-May-23,Project Management,External,Failed,5
1513,10-Nov-22,Technical Skills,External,Failed,4
1514,01-Dec-22,Leadership Development,Internal,Failed,5
1515,03-Apr-23,Communication Skills,External,Completed,3
1516,18-Nov-22,Communication Skills,Internal,Failed,3
1517,12-Jan-23,Customer Service,External,Passed,3
1518,08-Dec-22,Customer Service,Internal,Completed,2
